NUM_SEC_ARCHIVO,FEC_OPERACION,FECHA_HORA,ESTADO_TRANSFERENCIA,ESTADO_ARCHIVO,VAL_SEGUNDOS
75045,2025-01-17 10:13:09.673,2025-01-17 12:15:14.000,ENVIADO,RECIBIDO,7324.33
75045,2025-01-17 10:33:35.987,2025-01-17 12:15:14.000,ENVIADO,RECIBIDO,6098.01
75045,2025-01-17 10:36:24.830,2025-01-17 12:15:14.000,ENVIADO,RECIBIDO,5929.17
75045,2025-01-17 10:44:30.967,2025-01-17 12:15:14.000,ENVIADO,RECIBIDO,5443.03
75045,2025-01-17 10:52:07.510,2025-01-17 12:15:14.000,ENVIADO,RECIBIDO,4986.49
75045,2025-01-17 11:01:56.750,2025-01-17 12:15:14.000,ENVIADO,RECIBIDO,4397.25
75045,2025-01-17 11:41:42.413,2025-01-17 12:15:14.000,ENVIADO,RECIBIDO,2011.59
75056,2025-01-17 12:33:16.073,2025-01-17 14:36:04.000,ENVIADO,RECIBIDO,7367.93
75056,2025-01-17 12:37:26.607,2025-01-17 14:36:04.000,ENVIADO,RECIBIDO,7117.39
75056,2025-01-17 12:46:27.763,2025-01-17 14:36:04.000,ENVIADO,RECIBIDO,6576.24
75056,2025-01-17 13:18:29.427,2025-01-17 14:36:04.000,ENVIADO,RECIBIDO,4654.57
75056,2025-01-17 13:33:00.067,2025-01-17 14:36:04.000,ENVIADO,RECIBIDO,3783.93
75079,2025-01-20 09:53:15.943,2025-01-20 12:15:13.000,ENVIADO,RECIBIDO,8517.06
75079,2025-01-20 09:53:15.943,2025-01-20 12:15:13.000,ENVIADO,RECIBIDO,8517.06
75079,2025-01-20 11:03:26.430,2025-01-20 12:15:13.000,ENVIADO,RECIBIDO,4306.57
75079,2025-01-20 11:03:26.430,2025-01-20 12:15:13.000,ENVIADO,RECIBIDO,4306.57
75090,2025-01-20 13:01:34.777,2025-01-20 14:36:08.000,ENVIADO,RECIBIDO,5673.22
75090,2025-01-20 13:20:27.237,2025-01-20 14:36:08.000,ENVIADO,RECIBIDO,4540.76
75090,2025-01-20 13:26:40.077,2025-01-20 14:36:08.000,ENVIADO,RECIBIDO,4167.92
75090,2025-01-20 13:34:41.460,2025-01-20 14:36:08.000,ENVIADO,RECIBIDO,3686.54
75090,2025-01-20 13:38:11.277,2025-01-20 14:36:08.000,ENVIADO,RECIBIDO,3476.72
75090,2025-01-20 13:51:29.887,2025-01-20 14:36:08.000,ENVIADO,RECIBIDO,2678.11
75090,2025-01-20 13:53:37.203,2025-01-20 14:36:08.000,ENVIADO,RECIBIDO,2550.80
75090,2025-01-20 14:03:31.823,2025-01-20 14:36:08.000,ENVIADO,RECIBIDO,1956.18
75090,2025-01-20 14:22:37.240,2025-01-20 14:36:08.000,ENVIADO,RECIBIDO,810.76
75112,2025-01-21 09:27:31.997,2025-01-21 12:15:21.000,ENVIADO,RECIBIDO,10069.00
75112,2025-01-21 10:38:02.457,2025-01-21 12:15:21.000,ENVIADO,RECIBIDO,5838.54
75112,2025-01-21 11:02:28.480,2025-01-21 12:15:21.000,ENVIADO,RECIBIDO,4372.52
75124,2025-01-21 12:00:36.933,2025-01-21 14:36:15.000,ENVIADO,RECIBIDO,9338.07
75124,2025-01-21 12:00:36.933,2025-01-21 14:36:15.000,ENVIADO,RECIBIDO,9338.07
75124,2025-01-21 12:03:53.767,2025-01-21 14:36:15.000,ENVIADO,RECIBIDO,9141.23
75124,2025-01-21 12:03:53.767,2025-01-21 14:36:15.000,ENVIADO,RECIBIDO,9141.23
75146,2025-01-22 08:37:25.307,2025-01-22 12:15:26.000,ENVIADO,RECIBIDO,13080.69
75146,2025-01-22 10:39:27.620,2025-01-22 12:15:26.000,ENVIADO,RECIBIDO,5758.38
75146,2025-01-22 10:48:13.147,2025-01-22 12:15:26.000,ENVIADO,RECIBIDO,5232.85
75146,2025-01-22 11:11:09.237,2025-01-22 12:15:26.000,ENVIADO,RECIBIDO,3856.76
75146,2025-01-22 11:42:17.110,2025-01-22 12:15:26.000,ENVIADO,RECIBIDO,1988.89
75146,2025-01-22 11:58:00.317,2025-01-22 12:15:26.000,ENVIADO,RECIBIDO,1045.68
75146,2025-01-22 11:58:46.020,2025-01-22 12:15:26.000,ENVIADO,RECIBIDO,999.98
75178,2025-01-23 05:25:35.243,2025-01-23 12:15:14.000,ENVIADO,RECIBIDO,24578.76
75178,2025-01-23 06:42:36.123,2025-01-23 12:15:14.000,ENVIADO,RECIBIDO,19957.88
75178,2025-01-23 07:30:29.200,2025-01-23 12:15:14.000,ENVIADO,RECIBIDO,17084.80
75178,2025-01-23 09:29:51.800,2025-01-23 12:15:14.000,ENVIADO,RECIBIDO,9922.20
75178,2025-01-23 10:30:48.470,2025-01-23 12:15:14.000,ENVIADO,RECIBIDO,6265.53
75178,2025-01-23 11:42:01.183,2025-01-23 12:15:14.000,ENVIADO,RECIBIDO,1992.82
75178,2025-01-23 11:43:10.167,2025-01-23 12:15:14.000,ENVIADO,RECIBIDO,1923.83
