ID_TRANSACCION,IND_TRANSACCION,IND_ESTADO_OPERACION,FEC_OPERACION_CCE,FEC_RESPUESTA_CCE,FEC_REGISTRO,FEC_MODIFICO,VAL_SEGUNDOS_CCE,VAL_SEGUNDOS_CMACT
1102,SALIENTE,F,2025-10-16 16:42:11.000,2025-10-16 16:42:17.000,2025-10-16 16:42:11.037,2025-10-16 16:42:12.070,6.00,1.03
1110,SALIENTE,F,2025-10-16 20:01:03.000,2025-10-16 20:01:03.000,2025-10-16 20:01:03.107,2025-10-16 20:01:04.240,0.00,1.13
1044,SALIENTE,F,2025-10-15 15:44:15.000,2025-10-15 15:44:16.000,2025-10-15 15:44:15.833,2025-10-15 15:44:16.843,1.00,1.01
1045,SALIENTE,F,2025-10-15 15:55:40.000,2025-10-15 15:55:42.000,2025-10-15 15:55:40.703,2025-10-15 15:55:42.530,2.00,1.83
1049,SALIENTE,F,2025-10-15 16:50:26.000,2025-10-15 16:50:26.000,2025-10-15 16:50:26.117,2025-10-15 16:50:27.127,0.00,1.01
1050,SALIENTE,F,2025-10-15 16:55:26.000,2025-10-15 16:55:27.000,2025-10-15 16:55:26.847,2025-10-15 16:55:27.807,1.00,0.96
1051,SALIENTE,F,2025-10-15 16:59:23.000,2025-10-15 16:59:24.000,2025-10-15 16:59:23.563,2025-10-15 16:59:24.220,1.00,0.66
1069,SALIENTE,F,2025-10-16 08:24:28.000,2025-10-16 08:24:29.000,2025-10-16 08:24:28.927,2025-10-16 08:24:30.107,1.00,1.18
1081,SALIENTE,F,2025-10-16 10:37:54.000,2025-10-16 10:37:55.000,2025-10-16 10:37:54.627,2025-10-16 10:37:55.473,1.00,0.85
1083,SALIENTE,F,2025-10-16 10:54:58.000,2025-10-16 10:54:58.000,2025-10-16 10:54:58.050,2025-10-16 10:54:58.643,0.00,0.59
1084,SALIENTE,F,2025-10-16 10:57:31.000,2025-10-16 10:57:33.000,2025-10-16 10:57:31.597,2025-10-16 10:57:34.630,2.00,3.03
1085,SALIENTE,F,2025-10-16 11:01:10.000,2025-10-16 11:01:11.000,2025-10-16 11:01:10.857,2025-10-16 11:01:11.800,1.00,0.94
1086,SALIENTE,F,2025-10-16 11:16:37.000,2025-10-16 11:16:43.000,2025-10-16 11:16:37.773,2025-10-16 11:16:38.597,6.00,0.82
1091,SALIENTE,F,2025-10-16 13:06:33.000,2025-10-16 13:06:34.000,2025-10-16 13:06:33.780,2025-10-16 13:06:34.810,1.00,1.03
1111,SALIENTE,F,2025-10-16 20:17:41.000,2025-10-16 20:17:41.000,2025-10-16 20:17:41.567,2025-10-16 20:17:42.250,0.00,0.68
1117,SALIENTE,F,2025-10-16 22:30:54.000,2025-10-16 22:30:54.000,2025-10-16 22:30:54.143,2025-10-16 22:30:54.827,0.00,0.68
1118,SALIENTE,F,2025-10-17 03:07:59.000,2025-10-17 03:08:05.000,2025-10-17 03:07:59.173,2025-10-17 03:08:00.297,6.00,1.12
2206,SALIENTE,F,2025-11-03 17:28:08.000,2025-11-03 17:28:09.000,2025-11-03 17:28:08.120,2025-11-03 17:28:09.963,1.00,1.84
2211,SALIENTE,F,2025-11-03 17:51:07.000,2025-11-03 17:51:08.000,2025-11-03 17:51:07.577,2025-11-03 17:51:08.323,1.00,0.75
2212,SALIENTE,F,2025-11-03 17:51:27.000,2025-11-03 17:51:27.000,2025-11-03 17:51:27.157,2025-11-03 17:51:27.770,0.00,0.61
2214,SALIENTE,F,2025-11-03 18:01:18.000,2025-11-03 18:01:18.000,2025-11-03 18:01:18.030,2025-11-03 18:01:18.997,0.00,0.97
2218,SALIENTE,F,2025-11-03 18:19:23.000,2025-11-03 18:19:24.000,2025-11-03 18:19:23.687,2025-11-03 18:19:24.537,1.00,0.85
2222,SALIENTE,F,2025-11-03 18:39:54.000,2025-11-03 18:40:00.000,2025-11-03 18:39:54.527,2025-11-03 18:39:55.380,6.00,0.85
2223,SALIENTE,F,2025-11-03 18:41:38.000,2025-11-03 18:41:38.000,2025-11-03 18:41:38.363,2025-11-03 18:41:39.373,0.00,1.01
2224,SALIENTE,F,2025-11-03 18:47:29.000,2025-11-03 18:47:30.000,2025-11-03 18:47:30.000,2025-11-03 18:47:30.737,1.00,0.74
2225,SALIENTE,F,2025-11-03 18:58:06.000,2025-11-03 18:58:13.000,2025-11-03 18:58:06.757,2025-11-03 18:58:07.767,7.00,1.01
2226,SALIENTE,F,2025-11-03 19:14:21.000,2025-11-03 19:14:22.000,2025-11-03 19:14:21.743,2025-11-03 19:14:22.520,1.00,0.78
2228,SALIENTE,F,2025-11-03 19:20:22.000,2025-11-03 19:20:22.000,2025-11-03 19:20:22.467,2025-11-03 19:20:23.237,0.00,0.77
2229,SALIENTE,F,2025-11-03 19:20:47.000,2025-11-03 19:20:48.000,2025-11-03 19:20:47.620,2025-11-03 19:20:48.313,1.00,0.69
2230,SALIENTE,F,2025-11-03 19:21:43.000,2025-11-03 19:21:44.000,2025-11-03 19:21:43.693,2025-11-03 19:21:44.743,1.00,1.05
2241,SALIENTE,F,2025-11-03 20:11:14.000,2025-11-03 20:11:15.000,2025-11-03 20:11:14.973,2025-11-03 20:11:15.763,1.00,0.79
2242,SALIENTE,F,2025-11-03 20:19:40.000,2025-11-03 20:19:46.000,2025-11-03 20:19:40.480,2025-11-03 20:19:41.447,6.00,0.97
2243,SALIENTE,F,2025-11-03 21:12:17.000,2025-11-03 21:12:24.000,2025-11-03 21:12:17.563,2025-11-03 21:12:18.647,7.00,1.08
2245,SALIENTE,F,2025-11-03 21:14:54.000,2025-11-03 21:15:00.000,2025-11-03 21:14:54.400,2025-11-03 21:14:55.303,6.00,0.90
2246,SALIENTE,F,2025-11-03 21:50:13.000,2025-11-03 21:50:14.000,2025-11-03 21:50:13.517,2025-11-03 21:50:14.383,1.00,0.87
2250,SALIENTE,F,2025-11-04 07:02:31.000,2025-11-04 07:02:31.000,2025-11-04 07:02:31.593,2025-11-04 07:02:32.293,0.00,0.70
2251,SALIENTE,F,2025-11-04 07:13:27.000,2025-11-04 07:13:33.000,2025-11-04 07:13:27.083,2025-11-04 07:13:27.953,6.00,0.87
2256,SALIENTE,F,2025-11-04 08:25:41.000,2025-11-04 08:25:47.000,2025-11-04 08:25:41.640,2025-11-04 08:25:42.530,6.00,0.89
2263,SALIENTE,F,2025-11-04 08:54:54.000,2025-11-04 08:54:55.000,2025-11-04 08:54:54.640,2025-11-04 08:54:55.397,1.00,0.76
2264,SALIENTE,F,2025-11-04 08:59:58.000,2025-11-04 08:59:58.000,2025-11-04 08:59:58.027,2025-11-04 08:59:59.080,0.00,1.05
2266,SALIENTE,F,2025-11-04 09:02:32.000,2025-11-04 09:02:33.000,2025-11-04 09:02:32.963,2025-11-04 09:02:33.620,1.00,0.66
2268,SALIENTE,F,2025-11-04 09:04:10.000,2025-11-04 09:04:11.000,2025-11-04 09:04:10.903,2025-11-04 09:04:11.540,1.00,0.64
